File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_4_0,10,0,10,4
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_4_0,10,0,10,4
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_4_0,10,0,10,3
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_4_0,10,0,10,4
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_10000_0,999438,13,999978,2641
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_1000_0,99966,1,99991,254
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_100_0,99954,1,99954,28
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_100_1,199938,128207,3190473,61
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_100_2,9994,1,9995,36
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_19_0,31017,8,31167,10
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_200_0,90001,2,99763,49
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_200_1,199235,159326,2639473,96
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_300_0,137190,172610,4040153,121
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_30_0,99798,40,99084,14
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_400_0,130515,238279,9482879,216
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_40_0,99753,0,99913,13
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_45_0,58162,0,58179,26
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_4_0,10,0,10,4
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_500_0,49993,1,49996,136
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_50_0,340825,0,341011,21
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_50_1,4993,0,4994,24
File,weight_BnB,time_BnB_ms,weight_GA,time_GA_ms
data\ks_60_0,99876,502,99625,21
